iter	Passed	Remaining
1055	34778	64024
1056	34804	63977
1057	34833	63937
1058	34864	63901
1059	34893	63861
1060	34925	63827
1061	34958	63794
1062	34984	63748
1063	35013	63707
1064	35040	63665
1065	35068	63624
1066	35094	63577
1067	35123	63538
1068	35162	63516
1069	35195	63483
1070	35220	63436
1071	35244	63387
1072	35269	63341
1073	35295	63295
1074	35320	63249
1075	35349	63208
1076	35375	63162
1077	35400	63117
1078	35426	63071
1079	35450	63022
1080	35475	62977
1081	35500	62929
1082	35524	62881
1083	35553	62842
1084	35586	62809
1085	35615	62770
1086	35643	62728
1087	35669	62683
1088	35695	62640
1089	35722	62596
1090	35749	62553
1091	35776	62509
1092	35807	62475
1093	35835	62433
1094	35860	62387
1095	35888	62345
1096	35914	62301
1097	35940	62257
1098	35970	62219
1099	36020	62216
1100	36054	62187
1101	36093	62164
1102	36128	62135
1103	36160	62102
1104	36200	62081
1105	36234	62050
1106	36266	62016
1107	36296	61978
1108	36327	61943
1109	36357	61905
1110	36384	61863
1111	36408	61815
1112	36445	61790
1113	36480	61760
1114	36507	61719
1115	36531	61671
1116	36555	61623
1117	36583	61583
1118	36610	61541
1119	36635	61495
1120	36663	61454
1121	36690	61413
1122	36718	61371
1123	36743	61326
1124	36770	61284
1125	36809	61261
1126	36840	61226
1127	36879	61204
1128	36914	61175
1129	36948	61145
1130	36980	61110
1131	37006	61067
1132	37032	61023
1133	37065	60992
1134	37093	60950
1135	37120	60909
1136	37145	60864
1137	37174	60825
1138	37200	60781
1139	37225	60736
1140	37251	60693
1141	37277	60649
1142	37307	60612
1143	37336	60573
1144	37362	60531
1145	37387	60485
1146	37410	60437
1147	37435	60392
1148	37462	60351
1149	37488	60308
1150	37515	60266
1151	37542	60224
1152	37574	60190
1153	37602	60151
1154	37630	60110
1155	37655	60066
1156	37683	60026
1157	37717	59996
1158	37759	59978
1159	37787	59938
1160	37816	59900
1161	37851	59871
1162	37884	59840
1163	37918	59810
1164	37953	59781
1165	37984	59745
1166	38017	59713
1167	38049	59680
1168	38086	59655
1169	38124	59630
1170	38165	59610
1171	38201	59584
1172	38234	59552
1173	38274	59531
1174	38312	59507
1175	38352	59485
1176	38388	59457
1177	38423	59429
1178	38467	59414
1179	38501	59383
1180	38538	59357
1181	38574	59329
1182	38603	59291
1183	38631	59252
1184	38664	59220
1185	38707	59203
1186	38745	59179
1187	38781	59151
1188	38820	59129
1189	38860	59107
1190	38900	59085
1191	38926	59042
1192	38951	58998
1193	38988	58972
1194	39033	58959
1195	39066	58927
1196	39100	58896
1197	39136	58867
1198	39186	58860
1199	39232	58848
1200	39270	58823
1201	39304	58793
1202	39342	58767
1203	39375	58736
1204	39406	58701
1205	39442	58672
1206	39477	58644
1207	39512	58613
1208	39552	58592
1209	39581	58554
1210	39610	58516
1211	39658	58506
1212	39688	58469
1213	39716	58429
1214	39748	58396
1215	39789	58375
1216	39816	58334
1217	39849	58301
1218	39887	58277
1219	39926	58254
1220	39961	58223
1221	39994	58192
1222	40025	58156
1223	40056	58120
1224	40082	58078
1225	40125	58060
1226	40161	58032
1227	40191	57996
1228	40223	57962
1229	40257	57931
1230	40294	57904
1231	40327	57872
1232	40367	57850
1233	40403	57821
